ID,name,Description,Rights,Theme,geometry_type,geometry_type_name,Resource Type,feature_count,Bounding Box,Coordinate Reference System
b1g_sSYISk5HPQHH,Bus_stops,"This dataset represents the locations of MTA bus stops within the City of Baltimore as of 2022. For current MTA bus stops data, please visit the State of Maryland's iMAP open data portal: https://data.imap.maryland.gov/datasets/maryland::maryland-transit-mta-bus-stops/about",,,1,Point,Point data,4502,"-79.1016,38.2961,-75.0651,39.7308",https://epsg.io/2248
b1g_700oULv2YoYn,bridge,The data set locates bridges as a point feature class. The locations for bridges in the data set match the location maps provided with the bridge inspection reports. Attributes from the bridge inspection reports including 2006 Bridge Sufficiency Rating (BSR) and from SHA average daily traffic counts (ADT) were appended to the feature class. ADT dates are primarily from 2003.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",Transportation,1,Point,Point data,313,"-76.8783,39.1971,-76.1695,39.6902",https://epsg.io/2248
b1g_HakV2hDpNXiH,subway,This feature class represents the Baltimore City Metro Subway network.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",Transportation,5,Multi Line String,Line data,38,"-76.7786,39.2893,-76.5936,39.4078",https://epsg.io/2248
b1g_Xc67skfADkPS,MARC_Train,This dataset represents the railroad line for the Maryland Area Regional Commuter (MARC) train system. Heavy Rail - Railroad centerlines for the City's Heavy rail system. Light Rail - Railroad centerlines for the City's Light rail system Subway Rail - Railroad centerlines for the City's subway system. Abandoned Rail - Railroad centerlines that are obviously abandoned as evidenced by vegetation overgrowth.,"License agreement required for use of data. See distribution contact information. | Every reasonable effort has been made to ensure the accuracy of these data. The City of Baltimore, Maryland makes no representations nor warranties, either express of implied, regarding the accuracy of this information or its suitability for any particular purpose whatsoever. The data is licensed ""as is"" and the City of Baltimore will not be liable for its use or misuse by any party. Reliance of these data is at the risk of the user.",,5,Multi Line String,Line data,235,"-76.684,39.2547,-76.5288,39.3112",https://epsg.io/2248
b1g_8Yb9gYL8QWYl,lightrail,This layer represents MTA's Lightrail transportation network.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",Transportation,5,Multi Line String,Line data,49,"-76.6572,39.1715,-76.6148,39.4497",https://epsg.io/2248
b1g_Ow9xM60T6uac,bus_route,"This data represents the locations of MTA bus routes within the City of Baltimore as of 2022. For current MTA bus routes data, please visit the State of Maryland's iMAP open data portal: https://data.imap.maryland.gov/datasets/maryland::maryland-transit-mta-bus-lines-1/about","Ability to consume ESRI- or OGC-compliant web mapping services across the internet. | The Maryland Administration Administration makes no warranty, expressed or implied, as to the use or appropriateness of Spatial Data, and there are no warranties of merchantability or fitness for a particular purpose or use. No representation is made as to the accuracy or completeness of Spatial Data. The Maryland Transit Administration shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROM’s or DVD-ROM’s and energy. The Maryland Transit Administration shall not be liable for any lost profits, consequential damages, or claims against the Maryland Transit Administration by third parties. The liability of the Maryland Transit Administration for damage regardless of the form of the action shall not exceed any distribution fees that may have been paid in obtaining Spatial Data.",,5,Multi Line String,Line data,54,"-76.7119,39.199,-76.529,39.3725",https://epsg.io/2248
b1g_voOrZLQCHZxY,Baltimore_Gateways,This data set represents some of the major street routes coming into and leaving the City of Baltimore.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",Transportation,5,Multi Line String,Line data,2400,"-76.7128,39.2071,-76.5282,39.3727",https://epsg.io/2248
b1g_Qdo6JyhLnUSC,Transportation_Sectors,"This data represents the transportation sectors used by the City of Baltimore's Department of Transportation, and is used for general mapping/analysis purposes. The contact information provided with this feature class is for each sectors Transportation Liaison. The liaison's are housed in the Department of Transportations Planning Division.","Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",,6,Multi Polygon,Polygon data,4,"-76.712,39.1972,-76.5287,39.3725",https://epsg.io/2248
b1g_Via2WllDctRR,Secondary_Snowzones,This file shows the secondary snow removal zones that are used in the City's snow removal operations.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",,6,Multi Polygon,Polygon data,297,"-76.712,39.1972,-76.529,39.3726",https://epsg.io/2248
b1g_0glvDRBS6fgu,Primary_SnowZones,This file represents the primary snow removal zones for the City of Baltimore.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",,6,Multi Polygon,Polygon data,106,"-76.712,39.1972,-76.529,39.3726",https://epsg.io/2248
